Temperatura,Deformacion,Esfuerzo
-40.0,0.0,0.0
-40.0,0.05,9.6211799984375
-40.0,0.1,17.0476199
-40.0,0.15,24.2372313609375
-40.0,0.2,32.0752736
-40.0,0.25,40.7306005859375
-40.0,0.3,49.952507100000005
-40.0,0.35,59.30817367343752
-40.0,0.4,68.36071039999996
-40.0,0.45,76.78779962343765
-40.0,0.5,84.4409375000001
-40.0,0.55,91.3452744359376
-40.0,0.6,97.64005439999997
-40.0,0.65,103.45965311093784
-40.0,0.7,108.75521510000021
-40.0,0.75,113.05688964843785
-40.0,0.8,115.17666559999975
-39.0,0.0,0.0
-39.0,0.05,9.6211799984375
-39.0,0.1,17.0476199
-39.0,0.15,24.2372313609375
-39.0,0.2,32.0752736
-39.0,0.25,40.7306005859375
-39.0,0.3,49.952507100000005
-39.0,0.35,59.30817367343752
-39.0,0.4,68.36071039999996
-39.0,0.45,76.78779962343765
-39.0,0.5,84.4409375000001
-39.0,0.55,91.3452744359376
-39.0,0.6,97.64005439999997
-39.0,0.65,103.45965311093784
-39.0,0.7,108.75521510000021
-39.0,0.75,113.05688964843785
-39.0,0.8,115.17666559999975
-38.0,0.0,0.0
-38.0,0.05,9.5757839053125
-38.0,0.1,17.12794394
-38.0,0.15,24.4566352228125
-38.0,0.2,32.37740016
-38.0,0.25,41.0459580078125
-38.0,0.3,50.22919626
-38.0,0.35,59.522363860312524
-38.0,0.4,68.51246623999997
-38.0,0.45,76.88786218031264
-38.0,0.5,84.4940625000001
-38.0,0.55,91.33573056781259
-38.0,0.6,97.52488463999997
-38.0,0.65,103.17530202281282
-38.0,0.7,108.24312506000021
-38.0,0.75,112.31366894531283
-38.0,0.8,114.33443135999974
-37.0,0.0,0.0
-37.0,0.05,9.55308585875
-37.0,0.1,17.168105960000002
-37.0,0.15,24.56633715375
-37.0,0.2,32.52846344
-37.0,0.25,41.203636718750005
-37.0,0.3,50.367540840000004
-37.0,0.35,59.629458953750024
-37.0,0.4,68.58834415999996
-37.0,0.45,76.93789345875014
-37.0,0.5,84.5206250000001
-37.0,0.55,91.33095863375007
-37.0,0.6,97.46729975999997
-37.0,0.65,103.0331264787503
-37.0,0.7,107.9870800400002
-37.0,0.75,111.94205859375032
-37.0,0.8,113.91331423999975
-36.0,0.0,0.0
-36.0,0.05,9.530387812187499
-36.0,0.1,17.208267980000002
-36.0,0.15,24.6760390846875
-36.0,0.2,32.679526720000005
-36.0,0.25,41.3613154296875
-36.0,0.3,50.505885420000006
-36.0,0.35,59.73655404718752
-36.0,0.4,68.66422207999996
-36.0,0.45,76.98792473718764
-36.0,0.5,84.54718750000009
-36.0,0.55,91.32618669968757
-36.0,0.6,97.40971487999997
-36.0,0.65,102.8909509346878
-36.0,0.7,107.73103502000019
-36.0,0.75,111.57044824218781
-36.0,0.8,113.49219711999974
-35.0,0.0,0.0
-35.0,0.05,9.507689765624999
-35.0,0.1,17.248430000000003
-35.0,0.15,24.785741015625
-35.0,0.2,32.83059
-35.0,0.25,41.518994140625004
-35.0,0.3,50.64423
-35.0,0.35,59.84364914062502
-35.0,0.4,68.74009999999997
-35.0,0.45,77.03795601562513
-35.0,0.5,84.57375000000009
-35.0,0.55,91.32141476562506
-35.0,0.6,97.35212999999997
-35.0,0.65,102.7487753906253
-35.0,0.7,107.47499000000019
-35.0,0.75,111.1988378906253
-35.0,0.8,113.07107999999974
-34.0,0.0,0.0
-34.0,0.05,9.4849917190625
-34.0,0.1,17.288592020000003
-34.0,0.15,24.8954429465625
-34.0,0.2,32.98165328
-34.0,0.25,41.6766728515625
-34.0,0.3,50.78257458
-34.0,0.35,59.95074423406252
-34.0,0.4,68.81597791999997
-34.0,0.45,77.08798729406263
-34.0,0.5,84.60031250000009
-34.0,0.55,91.31664283156256
-34.0,0.6,97.29454511999998
-34.0,0.65,102.60659984656279
-34.0,0.7,107.21894498000019
-34.0,0.75,110.82722753906279
-34.0,0.8,112.64996287999973
-33.0,0.0,0.0
-33.0,0.05,9.4622936725
-33.0,0.1,17.32875404
-33.0,0.15,25.0051448775
-33.0,0.2,33.132716560000006
-33.0,0.25,41.834351562500004
-33.0,0.3,50.920919160000004
-33.0,0.35,60.05783932750002
-33.0,0.4,68.89185583999996
-33.0,0.45,77.13801857250013
-33.0,0.5,84.62687500000008
-33.0,0.55,91.31187089750006
-33.0,0.6,97.23696023999997
-33.0,0.65,102.46442430250028
-33.0,0.7,106.96289996000019
-33.0,0.75,110.45561718750028
-33.0,0.8,112.22884575999973
-32.0,0.0,0.0
-32.0,0.05,9.4395956259375
-32.0,0.1,17.36891606
-32.0,0.15,25.114846808437502
-32.0,0.2,33.28377984
-32.0,0.25,41.99203027343751
-32.0,0.3,51.05926374
-32.0,0.35,60.16493442093752
-32.0,0.4,68.96773375999997
-32.0,0.45,77.18804985093762
-32.0,0.5,84.65343750000008
-32.0,0.55,91.30709896343754
-32.0,0.6,97.17937535999998
-32.0,0.65,102.32224875843777
-32.0,0.7,106.70685494000017
-32.0,0.75,110.08400683593777
-32.0,0.8,111.80772863999974
-31.0,0.0,0.0
-31.0,0.05,9.416897579375
-31.0,0.1,17.40907808
-31.0,0.15,25.224548739375003
-31.0,0.2,33.434843120000004
-31.0,0.25,42.149708984375
-31.0,0.3,51.19760832
-31.0,0.35,60.27202951437502
-31.0,0.4,69.04361167999997
-31.0,0.45,77.23808112937512
-31.0,0.5,84.68000000000008
-31.0,0.55,91.30232702937504
-31.0,0.6,97.12179047999997
-31.0,0.65,102.18007321437526
-31.0,0.7,106.45080992000017
-31.0,0.75,109.71239648437526
-31.0,0.8,111.38661151999973
-30.0,0.0,0.0
-30.0,0.05,9.3941995328125
-30.0,0.1,17.4492401
-30.0,0.15,25.3342506703125
-30.0,0.2,33.585906400000006
-30.0,0.25,42.30738769531251
-30.0,0.3,51.3359529
-30.0,0.35,60.379124607812514
-30.0,0.4,69.11948959999998
-30.0,0.45,77.28811240781262
-30.0,0.5,84.70656250000008
-30.0,0.55,91.29755509531253
-30.0,0.6,97.06420559999998
-30.0,0.65,102.03789767031274
-30.0,0.7,106.19476490000017
-30.0,0.75,109.34078613281275
-30.0,0.8,110.96549439999973
-29.0,0.0,0.0
-29.0,0.05,9.37150148625
-29.0,0.1,17.48940212
-29.0,0.15,25.44395260125
